0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,file,class
0.182612234,0.476002874,0.802420232,0.351189139,0.688893486,0.606958232,0.328866854,0.765365568,0.332085375,0.614469906,0.585876669,0.296385991,0.721015524,0.395353547,0.187595868,0.057825201,0.171304708,0.270891035,0.164601524,0.195827453,0.210044766,0.253745442,0.214606187,0.214029819,0.233223528,0.15756119,0.188867776,0.194785891,0.186065244,0.199815468,0.191674398,0.188859489,0.19624481,0.19285274,0.182256644,0.18445783,0.198777087,0.19836531,0.201585799,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA100_2.wav,biophony
0.191586301,0.464108027,0.806961046,0.414629273,0.568701209,0.59583714,0.313315451,0.81911005,0.259583278,0.534222633,0.513393317,0.301363168,0.74633481,0.384068844,0.242942706,0.303217542,0.199544079,0.251541015,0.269999343,0.294018054,0.225671328,0.294133693,0.303585426,0.269918122,0.268522008,0.232550791,0.254706418,0.283386892,0.266048315,0.26465381,0.26480381,0.261281649,0.267515351,0.267281395,0.276111548,0.250408521,0.255190026,0.261008652,0.265436265,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA100_3.wav,biophony
0.167214768,0.407751851,0.793497182,0.415064599,0.564957684,0.618073663,0.24415359,0.788626968,0.313082804,0.611805492,0.528844574,0.324287964,0.672001728,0.398578561,0.348237615,0.331554367,0.275499742,0.289885677,0.270028446,0.347185296,0.299993717,0.377490616,0.349653523,0.360359575,0.368929082,0.312794497,0.316171264,0.343400939,0.34805833,0.351974266,0.348996114,0.334676135,0.343303223,0.346156016,0.344501271,0.335474984,0.341830508,0.352979946,0.349424613,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA100_4.wav,biophony
0.166258755,0.453018489,0.779857261,0.371911649,0.600156509,0.625393627,0.296699053,0.67405066,0.280047357,0.653896148,0.542490754,0.274763786,0.768902287,0.362742813,0.253862015,0.385519901,0.292810323,0.252045443,0.248866926,0.335156434,0.333284743,0.370094241,0.309462515,0.290341214,0.321483636,0.336253856,0.309853884,0.311951635,0.305681085,0.31119457,0.3136025,0.314652664,0.305289114,0.319184409,0.308268013,0.308916863,0.313305413,0.306799856,0.305277602,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA100_5.wav,biophony
0.181461513,0.53800042,0.649979351,0.223743272,0.645211516,0.443898935,0.395928884,0.834769388,0.512698585,0.555017786,0.573767279,0.24548287,0.678220879,0.419980278,0.333160962,0.47576805,0.348973461,0.35678334,0.40357043,0.45718434,0.403663811,0.394703437,0.324460569,0.317539694,0.426383952,0.434818249,0.402559045,0.413359987,0.39044374,0.385508639,0.386933054,0.395921624,0.391226369,0.410897646,0.396175863,0.391753539,0.394159291,0.387921029,0.409567238,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA100_6.wav,biophony
0.199942172,0.405812775,0.371290503,0.206768542,0.887799753,0.531154102,0.453174227,0.531582843,0.322180238,0.514849946,0.724589425,0.394448589,0.682740474,0.419540579,0.502948522,0.800127603,0.599779076,0.615979385,0.690165949,0.599826066,0.589646042,0.683773674,0.643627089,0.645663923,0.694324443,0.611135803,0.650834693,0.692877477,0.654561556,0.672622086,0.667571841,0.65165707,0.657987185,0.66925553,0.660329537,0.660382746,0.666752287,0.657372382,0.666933795,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA100_7.wav,biophony
0.187203436,0.463427377,0.796279331,0.414822583,0.51160802,0.547289384,0.257548455,0.72287747,0.251318121,0.732488197,0.514088178,0.310225753,0.74842271,0.427516582,0.287230515,0.293124832,0.278447349,0.296569082,0.261511626,0.263235712,0.333324118,0.344044494,0.340874036,0.327595258,0.343590092,0.315478854,0.303316385,0.338694092,0.313966683,0.331189239,0.326676746,0.31205546,0.315410338,0.331377472,0.332935314,0.311879386,0.323358824,0.32338972,0.31682018,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA100_8.wav,biophony
0.101444535,0.402926772,0.643028765,0.366566076,0.660263353,0.666457601,0.453585415,0.50719922,0.422944356,0.630852461,0.533487765,0.396208704,0.647312222,0.374261127,0.328876695,0.530288091,0.394335825,0.323124539,0.294169157,0.422698903,0.398380317,0.379081985,0.392632647,0.363416647,0.420487151,0.383914505,0.382809121,0.41051292,0.377418384,0.398689446,0.403762473,0.398644522,0.400764477,0.397745066,0.405647911,0.395631334,0.402261578,0.402860859,0.414846632,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA100_9.wav,biophony
0.233131032,0.40025246,0.403484557,0.192828778,0.652724385,0.695472109,0.570576628,0.510318427,0.2007097,0.710465343,0.75681122,0.14685288,0.848402005,0.705345454,0.557991154,0.442652325,0.545058996,0.581697477,0.600002343,0.56963894,0.599412014,0.611802489,0.652463979,0.647703818,0.603408777,0.620851483,0.579914948,0.655000588,0.651613769,0.633895539,0.632036529,0.63252493,0.627815283,0.63436686,0.641641572,0.628135407,0.63372402,0.649941496,0.64237047,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA101_1.wav,biophony
0.205958632,0.502732026,0.738663327,0.306087988,0.639309459,0.680271166,0.322777299,0.726942348,0.1930253,0.689078799,0.431081379,0.36194144,0.797853836,0.353265463,0.222495152,0.342876451,0.22377791,0.262613376,0.259537645,0.225075327,0.326411187,0.326178553,0.239303022,0.236343106,0.313523788,0.261678509,0.255698666,0.277833159,0.277867674,0.277918587,0.270340384,0.262830538,0.278486594,0.277207414,0.270829516,0.266433462,0.271482001,0.266956687,0.26824551,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA101_10.wav,biophony
0.207382918,0.466864966,0.825481422,0.375155853,0.554855754,0.635071939,0.297827937,0.788650504,0.178796721,0.73178651,0.472859449,0.332703945,0.705811591,0.369821444,0.223526441,0.261616973,0.21409905,0.217832988,0.258928772,0.268489003,0.232930971,0.276948706,0.300243201,0.258348062,0.258218864,0.233641061,0.247774636,0.276915088,0.265694793,0.266594505,0.272318474,0.263512514,0.251729581,0.257821215,0.255680456,0.244551025,0.258093171,0.258420168,0.259760642,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA101_11.wav,biophony
0.190924296,0.455985567,0.792366602,0.396376292,0.555197521,0.618127064,0.32713866,0.75010906,0.119599127,0.701466392,0.426785719,0.286173889,0.777109369,0.425950214,0.289121572,0.262658788,0.229669056,0.269492372,0.336894515,0.366596032,0.28951978,0.346868325,0.355293752,0.292158867,0.329158474,0.321766656,0.306367662,0.336348582,0.308760829,0.320515655,0.322342775,0.30932469,0.329396116,0.319293091,0.332405081,0.322938653,0.320974612,0.325551026,0.326754885,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA101_12.wav,biophony
0.254124391,0.494553181,0.696708644,0.326583968,0.647830652,0.773244404,0.181451309,0.709127459,0.123006706,0.788731285,0.445021891,0.307423978,0.764284264,0.396509911,0.300987406,0.384106876,0.310297811,0.273205057,0.292932914,0.353790011,0.318837624,0.320375914,0.298731268,0.307149689,0.30832106,0.294853803,0.300459136,0.313765022,0.305937963,0.309794753,0.318813035,0.31180047,0.308958095,0.325628584,0.319963899,0.316965174,0.310351058,0.317283287,0.312667169,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA101_13.wav,biophony
0.236356361,0.494866549,0.743028211,0.386024387,0.64982486,0.697953635,0.236545508,0.774365015,0.260439824,0.742353255,0.455088955,0.235746753,0.770217432,0.323276722,0.207428139,0.306041698,0.177685313,0.137038369,0.202520209,0.290157334,0.241111668,0.22024909,0.227666066,0.235856009,0.238954799,0.250327361,0.20832342,0.219318348,0.200755858,0.217538355,0.212875169,0.209232421,0.221268956,0.224098879,0.222817901,0.221192056,0.219780998,0.218460984,0.216556334,D:\PhD-data\Wambiana - Processed\biophony\audio_segment_dryA101_14.wav,biophony
