0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,sound_paths
0.612298847,0.813618395,0.611091911,0.682441168,0.187884267,0.59537049,0.253644558,0.594667491,0.403090971,0.529187968,0.491547117,0.290149487,0.732837901,0.242587989,0.203870446,0.26782793,0.257069971,0.184539481,0.22405845,0.245791855,0.27938904,0.282896306,0.2563404,0.255472251,0.236353912,0.250347003,0.230997088,0.252595749,0.269162922,0.260921245,0.24444243,0.23913544,0.247943547,0.249670789,0.247805053,0.245900834,0.259088379,0.258972471,0.258035972,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T170832+1000_REC_2611.958_2616.458.wav
0.190314495,0.605154238,0.552920724,0.468397927,0.561643998,0.661338832,0.452701446,0.383181972,0.514218741,0.54116168,0.48560929,0.255402748,0.717766816,0.422621433,0.356804942,0.454999873,0.447192848,0.373093928,0.491295153,0.450634109,0.465377006,0.478020672,0.464068436,0.465432596,0.421816011,0.495835997,0.436127326,0.473046568,0.466356816,0.465126808,0.466219341,0.455663503,0.46429935,0.465936167,0.469156842,0.472490857,0.475456683,0.463396462,0.47655078,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T180000+1000_REC_233.288_237.788.wav
0.128087004,0.543936279,0.701700343,0.526523245,0.568025232,0.47067375,0.546661264,0.485485666,0.512240407,0.490628931,0.445907861,0.286099808,0.71064904,0.361648745,0.320999117,0.383512723,0.380544491,0.328744043,0.371336623,0.404349895,0.417114486,0.408790608,0.385292832,0.368105077,0.356562174,0.376565349,0.358280156,0.371494108,0.37529672,0.378469629,0.37406448,0.36776084,0.377832849,0.369994944,0.373095931,0.376715183,0.374889576,0.37768975,0.38076151,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T180000+1000_REC_2943.736_2948.236.wav
0.514671996,0.802507277,0.705502907,0.582428607,0.290850929,0.455959989,0.415579628,0.616016179,0.277735109,0.619067567,0.37566778,0.348910995,0.720836613,0.265450746,0.181139623,0.275920408,0.246596952,0.241276194,0.19231192,0.201521906,0.234970587,0.237159965,0.224149536,0.208889995,0.203201562,0.2465842,0.22305733,0.22959269,0.245548776,0.244488259,0.248239472,0.236558517,0.236451448,0.226722351,0.234878991,0.236534237,0.237845378,0.231426644,0.239149537,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T180000+1000_REC_3016.252_3020.752.wav
0.079614081,0.47266083,0.728344038,0.502758,0.664259058,0.467128934,0.588302166,0.415574326,0.535688347,0.533025379,0.445515457,0.32927735,0.715022145,0.369149313,0.315964337,0.371702577,0.380328815,0.326401522,0.342283141,0.3596814,0.380564192,0.39965927,0.384059294,0.358018381,0.350875228,0.353454256,0.366671108,0.369196923,0.370228403,0.374657869,0.37282924,0.373883387,0.373752876,0.372827602,0.37419614,0.376078995,0.37869132,0.375261018,0.382041754,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T180000+1000_REC_4658.016_4662.516.wav
0.129591209,0.360796178,0.766429351,0.566252539,0.441620685,0.643130442,0.525258925,0.342367867,0.714499044,0.27783598,0.463596515,0.454382211,0.52376304,0.476378117,0.43026948,0.460945274,0.476193053,0.437363742,0.480842861,0.487217196,0.499939666,0.494082285,0.487718276,0.451783629,0.459645701,0.471911397,0.481411179,0.499145389,0.491868132,0.497331605,0.497337627,0.49054243,0.498981081,0.498355346,0.504087945,0.504754477,0.498026398,0.498592073,0.506010694,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T200000+1000_REC_148.115_152.615.wav
0.206032411,0.329209502,0.659678827,0.738384281,0.424788189,0.624670113,0.467129567,0.350008894,0.849769778,0.055755862,0.524762726,0.514405767,0.45971175,0.423029441,0.472201538,0.580491844,0.487661289,0.418051949,0.56805752,0.565153774,0.504595352,0.541309,0.561689579,0.536637725,0.517916043,0.544235522,0.537421071,0.541293028,0.53939698,0.547321025,0.542931895,0.537148242,0.543100433,0.545096601,0.547620356,0.553134952,0.545756479,0.54832941,0.560212489,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T200000+1000_REC_2213.44_2217.94.wav
0.078897956,0.218196303,0.642177356,0.533206657,0.506790247,0.603602926,0.633037752,0.262303624,0.760091586,0.341267387,0.423965461,0.529077525,0.519769222,0.562141017,0.598846803,0.688701691,0.646752881,0.624651526,0.670974496,0.664594996,0.729059658,0.690681894,0.671800359,0.682763046,0.663800966,0.663817864,0.706699845,0.694548209,0.685489188,0.704080768,0.692161611,0.692235196,0.694399354,0.69966937,0.702156222,0.700316399,0.704628566,0.700745407,0.711279582,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T200000+1000_REC_2539.388_2543.888.wav
0.144959628,0.420789022,0.714135805,0.617071127,0.498842529,0.57029859,0.588638022,0.319660383,0.810805209,0.231926422,0.42771245,0.538025815,0.504851747,0.412225469,0.361755784,0.414991361,0.409153229,0.374902083,0.412991812,0.427827207,0.473616976,0.423808622,0.427902007,0.437390637,0.399755048,0.424420016,0.408541622,0.416672576,0.41497297,0.418399839,0.418502393,0.417751281,0.423343468,0.421190991,0.42123262,0.422332641,0.422783054,0.42146001,0.429570024,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T200000+1000_REC_3506.763_3511.263.wav
0.117069301,0.223758035,0.647405526,0.601017093,0.492030829,0.614101215,0.738950207,0.198668251,0.787413329,0.44236918,0.278601071,0.59400813,0.520336367,0.557385905,0.518455846,0.602444262,0.613427007,0.541495864,0.592450754,0.588041465,0.642198793,0.608600876,0.594782621,0.592012639,0.578155367,0.596947081,0.621699472,0.613670198,0.605194228,0.6220076,0.610753678,0.61145386,0.615875047,0.617811025,0.619766409,0.617256202,0.624147444,0.615256614,0.625699222,D:\PhD-data\rinyirru-unlabelled\Rinyirru_DryA_20220807T220000+1000_REC_1082.446_1086.946.wav
