x,y,z,sound_path,class
7.08E+00,8.58E+00,4.66E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T180000+1000_REC_3035.594_3040.094.wav,unlabelled
6.91E+00,8.58E+00,4.49E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T180000+1000_REC_555.893_560.393.wav,unlabelled
5.26E+00,1.08E+01,6.44E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T180000+1000_REC_709.281_713.781.wav,unlabelled
6.94E+00,8.47E+00,4.38E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T200000+1000_REC_2730.207_2734.707.wav,unlabelled
7.74E+00,8.58E+00,5.39E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T200000+1000_REC_3191.278_3195.778.wav,unlabelled
6.46E+00,7.26E+00,3.31E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T200000+1000_REC_5529.405_5533.905.wav,unlabelled
6.93E+00,8.41E+00,4.20E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T200000+1000_REC_5742.026_5746.526.wav,unlabelled
8.34E+00,5.61E+00,2.93E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T220000+1000_REC_1175.679_1180.179.wav,unlabelled
6.85E+00,8.08E+00,3.93E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T220000+1000_REC_1810.62_1815.12.wav,unlabelled
8.52E+00,6.67E+00,5.50E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T220000+1000_REC_5280.089_5284.589.wav,unlabelled
4.91E+00,1.04E+01,7.25E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220508T220000+1000_REC_6288.832_6293.332.wav,unlabelled
9.44E+00,6.38E+00,4.81E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T000000+1000_REC_3671.056_3675.556.wav,unlabelled
9.22E+00,5.90E+00,4.69E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T000000+1000_REC_4237.448_4241.948.wav,unlabelled
8.98E+00,5.58E+00,4.23E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T000000+1000_REC_6128.274_6132.774.wav,unlabelled
9.39E+00,6.28E+00,4.98E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T000000+1000_REC_6671.739_6676.239.wav,unlabelled
9.71E+00,6.29E+00,4.72E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T020000+1000_REC_2068.631_2073.131.wav,unlabelled
8.61E+00,8.13E+00,4.15E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T020000+1000_REC_2161.147_2165.647.wav,unlabelled
8.95E+00,6.83E+00,5.37E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T020000+1000_REC_3348.833_3353.333.wav,unlabelled
